ID,Method,Task,Accuracy,Macro F1,Weighted F1,Parse Err
1a,Zero-Shot,3-class clarity,0.2792,0.28,0.332,0
2a,CoT,3-class clarity,0.2273,0.1897,0.2432,0
3a,CoT + Table,3-class clarity,0.5877,0.3669,0.5422,0
4a,CoT + Table + RAG,3-class clarity,0.5779,0.3565,0.5293,0
1b,Zero-Shot,9-class evasion,0.1055,0.1509,0.0875,0
2b,CoT,9-class evasion,0.1569,0.1724,0.1318,1
3b,CoT + Table,9-class evasion,0.1715,0.1573,0.1704,1
4b,CoT + Table + RAG,9-class evasion,0.1934,0.145,0.1718,1
1c,Zero-Shot,Mapping (Evasion->Clarity),0.6473,0.3631,0.5258,0
2c,CoT,Mapping (Evasion->Clarity),0.6533,0.3938,0.5434,1
3c,CoT + Table,Mapping (Evasion->Clarity),0.5296,0.3703,0.5144,5
4c,CoT + Table + RAG,Mapping (Evasion->Clarity),0.5683,0.3899,0.5488,4
